num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
7,7-284,3,1,.,"",""
7,7-284,4,1,.,"",|
7,7-284,5,0.5,"","",""
7,7-284,6,1,.,"",""
7,7-284,7,0.5,"","",|
7,7-286,1,0.5,"",|#,""
7,7-286,2,1.5,..,"",|
7,7-286,3,1,.,"",""
7,7-286,4,1,.,"",|
7,7-286,5,0.5,"","",""
7,7-286,6,1,.,"",""
7,7-286,7,0.5,"","",|
7,7-300,1,1.5,..,|#,""
7,7-300,2,0.5,"","",|
7,7-300,3,0.5,"","",""
7,7-300,4,1.5,..,"",|
7,7-300,5,0.5,"","",""
7,7-300,6,1,.,"",""
7,7-300,7,0.5,"","",|
7,7-302,1,1,.,|#,""
7,7-302,2,1,.,"",|
7,7-302,3,0.5,"","",""
7,7-302,4,1.5,..,"",|
7,7-302,5,0.5,"","",""
7,7-302,6,1,.,"",""
7,7-302,7,0.5,"","",|
7,7-304,1,0.5,"",|#,""
7,7-304,2,1.5,..,"",|
7,7-304,3,0.5,"","",""
7,7-304,4,1.5,..,"",|
7,7-304,5,0.5,"","",""
7,7-304,6,1,.,"",""
7,7-304,7,0.5,"","",|
7,7-498,1,1.5,..,|#,""
7,7-498,2,0.5,"","",|
7,7-498,3,1,.,"",""
7,7-498,4,0.5,"","",""
7,7-498,5,0.5,"","",|
7,7-498,6,1.5,..,"",""
7,7-498,7,0.5,"","",|
7,7-500,1,1,.,|#,""
7,7-500,2,1,.,"",|
7,7-500,3,1,.,"",""
7,7-500,4,0.5,"","",""
7,7-500,5,0.5,"","",|
7,7-500,6,1.5,..,"",""
7,7-500,7,0.5,"","",|
7,7-502,1,0.5,"",|#,""
7,7-502,2,1.5,..,"",|
7,7-502,3,1,.,"",""
7,7-502,4,0.5,"","",""
7,7-502,5,0.5,"","",|
7,7-502,6,1.5,..,"",""
7,7-502,7,0.5,"","",|
7,7-516,1,1.5,..,|#,""
7,7-516,2,0.5,"","",|
7,7-516,3,0.5,"","",""
7,7-516,4,1,.,"",""
7,7-516,5,0.5,"","",|
7,7-516,6,1.5,..,"",""
7,7-516,7,0.5,"","",|
7,7-518,1,1,.,|#,""
7,7-518,2,1,.,"",|
7,7-518,3,0.5,"","",""
7,7-518,4,1,.,"",""
7,7-518,5,0.5,"","",|
7,7-518,6,1.5,..,"",""
7,7-518,7,0.5,"","",|
7,7-520,1,0.5,"",|#,""
7,7-520,2,1.5,..,"",|
